ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
239	 0 0 1 0111
240	 1 0 1 0111
241	 0 0 1 1000
242	 1 0 1 1000
243	 0 0 1 1000
244	 1 0 1 1000
245	 0 0 1 1000
246	 1 0 1 1000
247	 0 0 1 1000
248	 1 0 1 1000
249	 0 0 1 1000
250	 1 0 1 1000
251	 0 0 1 1000
252	 1 0 1 1000
253	 0 0 1 1000
254	 1 0 1 1000
255	 0 0 1 1000
256	 1 0 1 1000
257	 0 0 1 1000
258	 1 0 1 1000
259	 0 0 1 1000
260	 1 0 1 1000
261	 0 0 1 1000
262	 1 0 1 1000
263	 0 0 1 1000
264	 1 0 1 1000
265	 0 0 1 1000
266	 1 0 1 1000
267	 0 0 1 1000
268	 1 0 1 1000
269	 0 0 1 1000
270	 1 0 1 1000
271	 0 0 1 1000
272	 1 0 1 1000
273	 0 0 1 1001
274	 1 0 1 1001
275	 0 0 1 1001
276	 1 0 1 1001
277	 0 0 1 1001
278	 1 0 1 1001
279	 0 0 1 1001
280	 1 0 1 1001
281	 0 0 1 1001
282	 1 0 1 1001
283	 0 0 1 1001
284	 1 0 1 1001
285	 0 0 1 1001
286	 1 0 1 1001
287	 0 0 1 1001
288	 1 0 1 1001
289	 0 0 1 1001
290	 1 0 1 1001
291	 0 0 1 1001
292	 1 0 1 1001
293	 0 0 1 1001
294	 1 0 1 1001
295	 0 0 1 1001
296	 1 0 1 1001
297	 0 0 1 1001
298	 1 0 1 1001
299	 0 0 1 1001
300	 1 0 1 1001
301	 0 0 1 1001
302	 1 0 1 1001
303	 0 0 1 1001
304	 1 0 1 1001
305	 0 0 1 1010
306	 1 0 1 1010
307	 0 0 1 1010
308	 1 0 1 1010
309	 0 0 1 1010
310	 1 0 1 1010
311	 0 0 1 1010
312	 1 0 1 1010
313	 0 0 1 1010
314	 1 0 1 1010
315	 0 0 1 1010
316	 1 0 1 1010
317	 0 0 1 1010
318	 1 0 1 1010
319	 0 0 1 1010
320	 1 0 1 1010
321	 0 0 1 1010
322	 1 0 1 1010
323	 0 0 1 1010
324	 1 0 1 1010
325	 0 0 1 1010
326	 1 0 1 1010
327	 0 0 1 1010
328	 1 0 1 1010
329	 0 0 1 1010
330	 1 0 1 1010
331	 0 0 1 1010
332	 1 0 1 1010
333	 0 0 1 1010
334	 1 0 1 1010
335	 0 0 1 1010
336	 1 0 1 1010
337	 0 0 1 1011
338	 1 0 1 1011
339	 0 0 1 1011
340	 1 0 1 1011
341	 0 0 1 1011
342	 1 0 1 1011
343	 0 0 1 1011
344	 1 0 1 1011
345	 0 0 1 1011
346	 1 0 1 1011
347	 0 0 1 1011
348	 1 0 1 1011
349	 0 0 1 1011
350	 1 0 1 1011
351	 0 0 1 1011
352	 1 0 1 1011
353	 0 0 1 1011
354	 1 0 1 1011
355	 0 0 1 1011
356	 1 0 1 1011
357	 0 0 1 1011
358	 1 0 1 1011
359	 0 0 1 1011
360	 1 0 1 1011
361	 0 0 1 1011
362	 1 0 1 1011
363	 0 0 1 1011
364	 1 0 1 1011
365	 0 0 1 1011
366	 1 0 1 1011
367	 0 0 1 1011
368	 1 0 1 1011
369	 0 0 1 1100
370	 1 0 1 1100
371	 0 0 1 1100
372	 1 0 1 1100
373	 0 0 1 1100
374	 1 0 1 1100
375	 0 0 1 1100
376	 1 0 1 1100
377	 0 0 1 1100
378	 1 0 1 1100
379	 0 0 1 1100
380	 1 0 1 1100
381	 0 0 1 1100
382	 1 0 1 1100
383	 0 0 1 1100
384	 1 0 1 1100
385	 0 0 1 1100
386	 1 0 1 1100
387	 0 0 1 1100
388	 1 0 1 1100
389	 0 0 1 1100
390	 1 0 1 1100
391	 0 0 1 1100
392	 1 0 1 1100
393	 0 0 1 1100
394	 1 0 1 1100
395	 0 0 1 1100
396	 1 0 1 1100
397	 0 0 1 1100
398	 1 0 1 1100
399	 0 0 1 1100
400	 1 0 1 1100
401	 0 0 1 1101
402	 1 0 1 1101
403	 0 0 1 1101
404	 1 0 1 1101
405	 0 0 1 1101
406	 1 0 1 1101
407	 0 0 1 1101
408	 1 0 1 1101
409	 0 0 1 1101
410	 1 0 1 1101
411	 0 0 1 1101
412	 1 0 1 1101
413	 0 0 1 1101
414	 1 0 1 1101
415	 0 0 1 1101
416	 1 0 1 1101
417	 0 0 1 1101
418	 1 0 1 1101
419	 0 0 1 1101
420	 1 0 1 1101
421	 0 0 1 1101
422	 1 0 1 1101
423	 0 0 1 1101
424	 1 0 1 1101
425	 0 0 1 1101
426	 1 0 1 1101
427	 0 0 1 1101
428	 1 0 1 1101
429	 0 0 1 1101
430	 1 0 1 1101
431	 0 0 1 1101
432	 1 0 1 1101
433	 0 0 1 1110
